case,family,trial_id,acquisition,mIoU,source_root,output_dir,denoise_retained_ratio,depth_nan_ratio,depth_outlier_ratio,det_midpoint_ratio,det_real_detection_ratio,det_fallback_ratio,det_x_spacing_cv,det_y_std,det_ring_count_error,det_n_points,sam_fill_rate,sam_ring_completeness,sam_segment_size_cv,sam_ontology_divergence,orient_invariant_ok,orient_h_ring_corr,overlay_json
1-1,t1&2,1-1-t010,sobol_init,0.594,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t010,0.6800407222124837,0.1251258828281976,0.001457185772064496,0.1,0.1,0.9,0.0,0.0,0.0,10.0,0.6609958790282681,0.8888888888888888,1.3441382669953974,0.22993229623945582,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.328967531211674, ""mask_r_high"": 2.762628276087344, ""z_step"": 0.0011016903398558498, ""grad_threshold"": 0.22007016418501735}, ""enhancing"": {""curvature_threshold"": 0.001862915662769228, ""inter_radius"": 0.048752349019050595}, ""detecting"": {""binary_threshold"": 160, ""hough_threshold_oblique"": 41, ""hough_threshold_horizontal"": 62, ""hough_threshold_vertical"": 450, ""maxLineGap_oblique"": 66}, ""sam"": {""processing.y_bounds"": [3752, 13300]}}"
1-1,t1&2,1-1-t011,sobol_init,0.757,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t011,0.7845238996652812,0.11612755698708357,0.003996808824949239,0.4,0.7,0.3,3.773771716607962e-16,363.1258352042342,0.0,10.0,0.7413164497615894,0.8888888888888888,1.2822803369073419,0.20701657669859624,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.272228536568582, ""mask_r_high"": 2.895257371664047, ""z_step"": 0.00786132464464754, ""grad_threshold"": 0.1630565588362515}, ""enhancing"": {""curvature_threshold"": 0.0032093115858733653, ""inter_radius"": 0.02576385321095586}, ""detecting"": {""binary_threshold"": 116, ""hough_threshold_oblique"": 58, ""hough_threshold_horizontal"": 43, ""hough_threshold_vertical"": 590, ""maxLineGap_oblique"": 54}, ""sam"": {""processing.y_bounds"": [3981, 13300]}}"
1-1,t1&2,1-1-t012,ei,0.792,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t012,0.7624684548067459,0.10520286599674954,0.00382285937538896,0.4,0.6,0.4,0.33333333333333326,361.92760612407557,0.0,10.0,0.7323608821970494,0.8888888888888888,1.274213400140275,0.22000389955207084,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.447051395543211, ""mask_r_high"": 2.7852615470767117, ""z_step"": 0.005892480802849085, ""grad_threshold"": 0.21040040812734656}, ""enhancing"": {""curvature_threshold"": 0.0024221728305076425, ""inter_radius"": 0.06248797094015088}, ""detecting"": {""binary_threshold"": 103, ""hough_threshold_oblique"": 81, ""hough_threshold_horizontal"": 73, ""hough_threshold_vertical"": 478, ""maxLineGap_oblique"": 40}, ""sam"": {""processing.y_bounds"": [3624, 13300]}}"
1-1,t1&2,1-1-t013,uncertainty,0.036,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t013,0.06418156754586954,0.8583739623250356,0.0022218373296056153,0.0,0.3,0.7,4.703634163078861e-16,158.0310254212551,0.0,10.0,0.05394915220834504,0.8888888888888888,1.376640301417177,0.33155810197646696,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.2315049606007924, ""mask_r_high"": 2.7006196761900503, ""z_step"": 0.0026334713970697834, ""grad_threshold"": 0.19411630080148054}, ""enhancing"": {""curvature_threshold"": 0.004223941088441371, ""inter_radius"": 0.04249719346708358}, ""detecting"": {""binary_threshold"": 133, ""hough_threshold_oblique"": 70, ""hough_threshold_horizontal"": 69, ""hough_threshold_vertical"": 650, ""maxLineGap_oblique"": 58}, ""sam"": {""processing.y_bounds"": [3635, 13300]}}"
1-1,t1&2,1-1-t014,ei,0.725,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t014,0.7994415476515232,0.11610514912752411,0.00391585065780198,0.4,0.6,0.4,3.82215538085107e-16,389.54963693031203,0.0,10.0,0.7593510169662055,0.8888888888888888,1.2411843550850177,0.19881320702741712,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.2427808975279993, ""mask_r_high"": 2.83639939241564, ""z_step"": 0.0054756445723374795, ""grad_threshold"": 0.19469581632656707}, ""enhancing"": {""curvature_threshold"": 0.007085638491260197, ""inter_radius"": 0.02172046270747003}, ""detecting"": {""binary_threshold"": 113, ""hough_threshold_oblique"": 83, ""hough_threshold_horizontal"": 80, ""hough_threshold_vertical"": 683, ""maxLineGap_oblique"": 51}, ""sam"": {""processing.y_bounds"": [4382, 13300]}}"
1-1,t1&2,1-1-t015,uncertainty,0.04,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t015,0.03505159771930716,0.895318510226774,0.0021200302281822007,0.0,0.1,0.9,0.0,0.0,0.0,10.0,0.028342701378393995,1.0,1.364765160134783,0.2494602012808783,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.380839146927337, ""mask_r_high"": 2.706362727843055, ""z_step"": 0.007805147261325283, ""grad_threshold"": 0.24000834546518934}, ""enhancing"": {""curvature_threshold"": 0.001422068319741099, ""inter_radius"": 0.07915963365251732}, ""detecting"": {""binary_threshold"": 132, ""hough_threshold_oblique"": 87, ""hough_threshold_horizontal"": 68, ""hough_threshold_vertical"": 449, ""maxLineGap_oblique"": 40}, ""sam"": {""processing.y_bounds"": [4029, 13300]}}"
1-1,t1&2,1-1-t016,ei,0.623,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t016,0.7923576874845062,0.12068425122609784,0.003988939214492403,0.5,0.7,0.3,3.773771716607962e-16,387.8443600736207,0.0,10.0,0.7534314635621252,0.8888888888888888,1.2891973716275007,0.21098518952941853,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.259489363698955, ""mask_r_high"": 2.880407766346143, ""z_step"": 0.00658806055580846, ""grad_threshold"": 0.1400415466063742}, ""enhancing"": {""curvature_threshold"": 0.0004261483131640107, ""inter_radius"": 0.0657809991691224}, ""detecting"": {""binary_threshold"": 130, ""hough_threshold_oblique"": 43, ""hough_threshold_horizontal"": 54, ""hough_threshold_vertical"": 702, ""maxLineGap_oblique"": 50}, ""sam"": {""processing.y_bounds"": [3601, 13300]}}"
1-1,t1&2,1-1-t017,uncertainty,0.794,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t017,0.763953270068344,0.12518692671419696,0.0036327846639356057,0.4,0.7,0.3,3.773771716607962e-16,362.59650214682875,0.0,10.0,0.7277363283417678,0.8888888888888888,1.2988696608201848,0.22246761178468527,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.3640715255315428, ""mask_r_high"": 2.898480820521755, ""z_step"": 0.00508731272106885, ""grad_threshold"": 0.12276712554036466}, ""enhancing"": {""curvature_threshold"": 0.0012854040735664157, ""inter_radius"": 0.07355347508832508}, ""detecting"": {""binary_threshold"": 150, ""hough_threshold_oblique"": 57, ""hough_threshold_horizontal"": 47, ""hough_threshold_vertical"": 420, ""maxLineGap_oblique"": 65}, ""sam"": {""processing.y_bounds"": [3777, 13300]}}"
1-1,t1&2,1-1-t018,ei,0.673,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t018,0.7622101809680186,0.11512726979291936,0.003258702330248647,0.4,0.5,0.5,4.0667364536488425e-16,396.5638923152589,0.0,10.0,0.7297511754571395,0.8888888888888888,1.3744084759103012,0.21635410803527266,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.285663953797081, ""mask_r_high"": 2.775045663710442, ""z_step"": 0.006048921787922656, ""grad_threshold"": 0.1105428190439898}, ""enhancing"": {""curvature_threshold"": 0.006249317697763492, ""inter_radius"": 0.07931196077078796}, ""detecting"": {""binary_threshold"": 101, ""hough_threshold_oblique"": 63, ""hough_threshold_horizontal"": 59, ""hough_threshold_vertical"": 453, ""maxLineGap_oblique"": 42}, ""sam"": {""processing.y_bounds"": [3622, 13300]}}"
1-1,t1&2,1-1-t019,uncertainty,0.754,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy,/home/boringtao/Projects/Proxy4Tun/data/bo/1-1-bo-proxy/runs/1-1-t019,0.782305234038625,0.11318331302769187,0.0035257648879965684,0.4,0.7,0.3,3.773771716607962e-16,362.45346704283025,0.0,10.0,0.7415902822653001,0.8888888888888888,1.27596032208005,0.20327700399928011,1.0,0.9860555705685724,"{""denoising"": {""mask_r_low"": 2.2241729561221515, ""mask_r_high"": 2.8662787457482093, ""z_step"": 0.0017521572466985959, ""grad_threshold"": 0.14921137747462657}, ""enhancing"": {""curvature_threshold"": 0.0005090043490284101, ""inter_radius"": 0.02308355258103802}, ""detecting"": {""binary_threshold"": 119, ""hough_threshold_oblique"": 74, ""hough_threshold_horizontal"": 63, ""hough_threshold_vertical"": 402, ""maxLineGap_oblique"": 53}, ""sam"": {""processing.y_bounds"": [3936, 13300]}}"
