source,case,family,trial_id,mIoU,depth_nan_ratio,denoise_retained_ratio,sam_fill_rate,sam_ontology_divergence,det_row_residual_px,det_row_gated,det_row_y_std,phase_incoherence_deg,det_real_detection_ratio
data/anchors,2-1,staggered,2-1-anchor,0.874,0.12822247900508313,0.7516762466955618,0.7225310498347522,0.23690818188124552,0.0,0.0,0.481388494384849,2.1,1.0
data/anchors,3-1,continuous,3-1-anchor,0.85,0.16229315232751773,0.7266268101170488,0.6735175946644923,0.2026786621937583,0.0,0.0,0.0,1.2,0.0
data/anchors,5-1,complex,5-1-anchor,0.808,0.20528068220449924,0.7633638444754262,0.7529205431415833,0.12519108935008927,0.0,0.0,580.3608667085526,22.7,0.7
bo-elegant-trials,2-1,staggered,2-1-t000,0.874,0.12822247900508313,0.7516762466955618,0.7225310498347522,0.23690818188124552,0.0,0.0,0.481388494384849,2.1,1.0
bo-elegant-trials,2-1,staggered,2-1-t001,0.824,0.10672561877956069,0.7782977725141014,0.7408969056610013,0.22297490189514407,0.0,0.0,18.738384515962736,3.0,0.8
bo-elegant-trials,2-1,staggered,2-1-t002,0.84,0.10593144291587948,0.7688071365531325,0.7365073508894855,0.2271695624568087,0.0,0.0,17.195707265337127,2.8,0.9
bo-elegant-trials,2-1,staggered,2-1-t003,0.806,0.1033018792354892,0.7873910491320101,0.7537560534001352,0.2185674348712507,0.0,0.0,17.763694361825443,2.6,0.9
bo-elegant-trials,2-1,staggered,2-1-t004,0.034,0.8443237370521154,0.065833503851647,0.056572292530884485,0.33528949699953414,0.0,0.0,74.40709291571213,3.9,0.5
bo-elegant-trials,2-1,staggered,2-1-t005,0.835,0.10938807599912645,0.7720469845128033,0.7359611755635889,0.22611391329094488,0.0,0.0,18.75781741163963,2.7,0.9
bo-elegant-trials,2-1,staggered,2-1-t006,0.034,0.8266938112512859,0.06933739683642023,0.06151060623911008,0.32204301075268815,0.0,0.0,49.66528975838424,3.9,0.4
bo-elegant-trials,2-1,staggered,2-1-t007,0.844,0.11568050230383135,0.7687208439519738,0.7365817588809038,0.22886041211121233,0.0,0.0,17.502062359727528,3.1,0.9
bo-elegant-trials,2-1,staggered,2-1-t008,0.688,0.11728292925482665,0.7520271010439854,0.7340296681196894,0.23393145847265728,0.0,0.0,67.83033168350158,3.8,0.3
bo-elegant-trials,2-1,staggered,2-1-t009,0.796,0.10962333155139203,0.7935291917018554,0.7608258460291969,0.21239176460147818,0.0,0.0,27.974635753419733,3.0,0.9
bo-elegant-trials,2-1,staggered,2-1-t010,0.033,0.8337043333874781,0.07156291919085443,0.06225003565382922,0.34423637223896214,0.0,0.0,38.97600000000002,5.4,0.1
bo-elegant-trials,2-1,staggered,2-1-t011,0.838,0.1087814617318138,0.7711112006762859,0.7377082131954306,0.22624175024696436,0.0,0.0,16.977544580013458,2.5,0.9
bo-elegant-trials,2-1,staggered,2-1-t012,0.827,0.1160237835833005,0.7645364278790209,0.7322056388856163,0.22336946549801695,0.0,0.0,20.40691059537984,3.2,0.8
bo-elegant-trials,3-1,continuous,3-1-gate,0.85,0.16229315232751773,0.7266268101170488,0.6735175946644923,0.2026786621937583,1.3685608244970866,1.0,5.325690362284073,1.2,0.0
bo-elegant-trials,3-1,continuous,3-1-t000,0.85,0.16229315232751773,0.7266268101170488,0.6735175946644923,0.2026786621937583,1.3685608244970866,1.0,5.325690362284073,1.2,0.0
bo-elegant-trials,3-1,continuous,3-1-t001,0.116,0.5309447452560787,0.35840706587534504,0.3293300427301218,0.4982674982674983,6.143112096717122,1.0,0.0,2.4,0.0
bo-elegant-trials,3-1,continuous,3-1-t002,0.068,0.7541656291500664,0.16726524108440521,0.15619835739560997,0.36634488621458006,0.0,0.0,13.732344398383521,3.4,0.2
bo-elegant-trials,3-1,continuous,3-1-t003,0.374,0.15161324692625996,0.685418540453568,0.5769733504710273,0.2614439634828809,0.0,0.0,0.0,1.7,0.0
bo-elegant-trials,3-1,continuous,3-1-t004,0.744,0.18735386811811625,0.6878833806902175,0.6356642464342289,0.2422860434791833,4.97989818511643,1.0,5.344462033264113,1.4,0.0
bo-elegant-trials,3-1,continuous,3-1-t005,0.253,0.1790822981481719,0.709239105063815,0.5139814327817527,0.1465387441064393,6.32704352775198,1.0,0.0,2.1,0.0
bo-elegant-trials,3-1,continuous,3-1-t006,0.707,0.1713095344604728,0.6313149860419085,0.5852766254096397,0.2800468466264846,0.0,0.0,8.11733469717684,1.2,0.8
bo-elegant-trials,3-1,continuous,3-1-t008,0.162,0.33436558253940535,0.5169099866487821,0.4816755311699588,0.1563611517624369,6.01152644741121,1.0,0.0,1.0,0.0
bo-elegant-trials,3-1,continuous,3-1-t009,0.062,0.6762714439142805,0.20291517152736066,0.018917337599083775,0.42491294453127143,5.1298987149230735,1.0,3.149528703637196,1.2,0.0
bo-elegant-trials,3-1,continuous,3-1-t010,0.109,0.18355960225751264,0.7424662095923366,0.6867054235821722,0.21765544308558973,0.0,0.0,0.0,1.6,0.1
bo-elegant-trials,3-1,continuous,3-1-t011,0.113,0.15302197972511739,0.7241152873001596,0.6802258814449192,0.22177156465106063,0.0,0.0,4.547473508864641e-13,1.2,0.1
bo-elegant-trials,3-1,continuous,3-1-t012,0.501,0.4627709696456109,0.41874430083499575,0.3980810347349519,0.2530900391678589,2.6061491132247943,1.0,4.882590951169699,2.6,0.0
bo-elegant-trials,3-1,continuous,3-1-t013,0.192,0.18088291044926424,0.7521481767340245,0.6718339096038516,0.16577648277768256,5.902633333401366,1.0,0.0,1.2,0.0
bo-elegant-trials,3-1,continuous,3-1-t014,0.051,0.9284998206218756,0.030135161630653648,0.024914493073861177,0.3767409905689838,0.0,0.0,2.2737367544323206e-13,13.8,0.1
bo-elegant-trials,3-1,continuous,3-1-t015,0.852,0.17858653826912488,0.7466178470616428,0.6981317631388122,0.198271391401387,0.0,0.0,5.441813931252242,1.3,0.7
bo-elegant-trials,3-1,continuous,3-1-t016,0.327,0.3763675885968273,0.3944506860783209,0.3475704829157317,0.32968454795354624,0.0,0.0,0.0,3.7,0.0
bo-elegant-trials,3-1,continuous,3-1-t017,0.62,0.3025537333106175,0.5998089126382193,0.568427326115169,0.2604384243150932,4.093553565890239,1.0,5.040092553399567,1.9,0.0
bo-elegant-trials,3-1,continuous,3-1-t018,0.598,0.29359705124439894,0.5456306660981766,0.5081352176497499,0.28574906521878934,0.0,0.0,47.505575435989364,1.8,0.8
bo-elegant-trials,3-1,continuous,3-1-t020,0.045,0.965670093413209,0.0076964013954979316,0.0074598763222840855,0.45682102628285354,0.0,0.0,0.0,34.5,0.0
