depth_nan_ratio,denoise_retained_ratio,det_real_detection_ratio,sam_fill_rate,sam_ring_completeness,sam_ontology_divergence,mIoU,case,family
0.1282224790050831,0.7516762466955618,1.0,0.7225310498347522,0.8888888888888888,0.2369081818812455,0.874,2-1,t1&2
0.1076282578014282,0.7772669117996606,0.9,0.7501519163158124,1.0,0.1645588671886569,0.639,2-1,t1&2
0.8027163796880514,0.085192499674465,0.5,0.0722367248909199,1.0,0.2035961410988235,0.032,2-1,t1&2
0.1021218083632947,0.7891938927574155,0.9,0.7564941641398953,0.8888888888888888,0.2145063551965756,0.803,2-1,t1&2
0.1179870288364308,0.6705079792236353,0.1,0.6188590154582602,0.8888888888888888,0.2673715394063271,0.345,2-1,t1&2
0.096246692761738,0.788557291053059,0.9,0.7520994421467533,0.8888888888888888,0.216769035579495,0.805,2-1,t1&2
0.1054368602317207,0.7691946781751027,0.9,0.7351922929856,0.8888888888888888,0.2215246930934308,0.826,2-1,t1&2
0.1110410980428672,0.7788666836151537,0.9,0.7422910220557688,0.8888888888888888,0.2238499782115057,0.823,2-1,t1&2
0.8771891560316408,0.0493071789243498,0.3,0.042412038386256,1.0,0.2687349992080799,0.036,2-1,t1&2
0.1040724074422979,0.7749406286235142,0.9,0.7425452493597813,0.8888888888888888,0.2255123414264142,0.831,2-1,t1&2
0.1240459713116846,0.7234239457317716,0.3,0.687334003005256,0.8888888888888888,0.2359433290156252,0.735,2-1,t1&2
0.1100856342444415,0.7823809110431794,0.9,0.7442674843278168,0.8888888888888888,0.2215628976862082,0.816,2-1,t1&2
0.1105219266129688,0.7651275580330661,0.9,0.7323063997073286,0.8888888888888888,0.1946740614515087,0.605,2-1,t1&2
0.8601070583494983,0.059886031759811,0.3,0.0523424049076204,1.0,0.2333484703396941,0.035,2-1,t1&2
0.115162681599168,0.764015571939093,1.0,0.7329135482484153,0.8888888888888888,0.2302852764989412,0.854,2-1,t1&2
0.1166891826691112,0.7616500178785868,0.9,0.72788480816173,0.8888888888888888,0.2323795650422837,0.854,2-1,t1&2
0.1070946817795639,0.7757425814199111,0.9,0.7369078105655213,0.8888888888888888,0.2206340747389186,0.818,2-1,t1&2
0.8562029967609829,0.0589042596508198,0.3,0.0514996310603758,1.0,0.35110268296109,0.035,2-1,t1&2
0.1162262882403522,0.7657936129006923,0.7,0.7323663394781933,0.8888888888888888,0.2176868588447817,0.79,2-1,t1&2
0.107196617668233,0.7832960259931917,0.9,0.7480101029517237,0.8888888888888888,0.1621953763662212,0.641,2-1,t1&2
0.1159989164138541,0.764825792290092,1.0,0.7345841110001881,0.8888888888888888,0.2325642358534341,0.852,2-1,t1&2
0.1154241029637789,0.7691533404020925,1.0,0.7392170419103011,0.8888888888888888,0.2280207662717943,0.84,2-1,t1&2
0.1180874413239558,0.74764943088221,0.8,0.7176159886238449,0.8888888888888888,0.2283180381892565,0.845,2-1,t1&2
