arm,policy_start,policy_random_round,policy_round1,policy_max_proxy,policy_monotone_accept,policy_oracle,policy_oracle_recovery
fable_fresh,0.7378181818181818,0.7336818181818182,0.7138636363636364,0.7505454545454545,0.7509090909090909,0.7646363636363638,0.4881355932203345
gpt56,0.7378181818181818,0.7062272727272727,0.6828636363636363,0.7597272727272727,0.7597272727272727,0.7695000000000001,0.6915351506456215
gemini38,0.7378181818181818,0.7147424242424242,0.691590909090909,0.7565909090909091,0.7588636363636364,0.7646363636363636,0.7847457627118684
random,0.7378181818181818,0.5346060606060608,0.5076363636363636,0.7522272727272727,0.7522272727272727,0.7687272727272728,0.4661764705882345
