subset,status,anchor_proxy_scaled,anchor_mIoU,selected_round,selected_proxy_scaled,selected_mIoU,delta_proxy_scaled,delta_mIoU,fable_selected_mIoU,fable_delta_mIoU,selection_reason
3-4,ok,0.5737,0.622,anchor,0.5737,0.622,0.0,0.0,0.631,0.009,monotone accept: no round beat anchor scaled proxy
3-2,ok,0.5999,0.631,round3,0.9575,0.747,0.3577,0.116,0.719,0.088,best proxy 0.9575; 1 within 0.01; residual tiebreak -> round3
3-5,ok,0.6195,0.588,round1,0.7522,0.713,0.1327,0.125,0.628,0.04,best proxy 0.7522; 3 within 0.01; residual tiebreak -> round1
4-4,ok,0.6225,0.347,round1,0.6531,0.422,0.0306,0.075,0.7,0.353,best proxy 0.6531; 3 within 0.01; residual tiebreak -> round1
4-3,ok,0.6296,0.516,anchor,0.6296,0.516,0.0,0.0,0.554,0.038,monotone accept: no round beat anchor scaled proxy
4-1,ok,0.6516,0.635,round1,0.6535,0.659,0.0019,0.024,0.655,0.02,best proxy 0.6535; 3 within 0.01; residual tiebreak -> round1
1-4,ok,0.6608,0.556,round3,0.6608,0.556,0.0,0.0,0.596,0.04,best proxy 0.6608; 1 within 0.01; residual tiebreak -> round3
1-5,ok,0.6745,0.549,round1,0.6826,0.437,0.008,-0.112,0.782,0.233,best proxy 0.6826; 3 within 0.01; residual tiebreak -> round1
2-2,ok,0.6923,0.673,round1,0.6984,0.586,0.0061,-0.087,0.668,-0.005,best proxy 0.6984; 2 within 0.01; residual tiebreak -> round1
