source,case,family,trial_id,mIoU,stage1_varied,path,depth_nan_ratio,denoise_retained_ratio,unfold_residual,orient_agreement,sam_fill_rate,sam_ontology_divergence,det_row_residual_px,det_row_gated,det_row_y_std,phase_incoherence_deg,recentre_residual_max_cm,orient_axis_corr
reuse_v2,2-1,staggered,2-1-anchor,0.874,False,data/anchors/2-1,0.12822247900508313,0.7516762466955618,1.252762968495368,0.9998907882124479,0.7225310498347522,0.23690818188124552,0.0,0.0,0.481388494384849,2.1,2.5,-0.9998907882124479
reuse_v2,2-1,staggered,2-1-t000,0.874,False,data/bo-elegant/2-1-trials/runs/2-1-t000,0.12822247900508313,0.7516762466955618,1.252762968495368,0.9998907882124479,0.7225310498347522,0.23690818188124552,0.0,0.0,0.481388494384849,2.1,2.5,-0.9998907882124479
reuse_v2,2-1,staggered,2-1-t001,0.824,False,data/bo-elegant/2-1-trials/runs/2-1-t001,0.10672561877956069,0.7782977725141014,1.252762968495368,0.9998907882124479,0.7408969056610013,0.22297490189514407,0.0,0.0,18.738384515962736,3.0,2.5,-0.9998907882124479
reuse_v2,2-1,staggered,2-1-t002,0.84,False,data/bo-elegant/2-1-trials/runs/2-1-t002,0.10593144291587948,0.7688071365531325,1.252762968495368,0.9998907882124479,0.7365073508894855,0.2271695624568087,0.0,0.0,17.195707265337127,2.8,2.5,-0.9998907882124479
reuse_v2,2-1,staggered,2-1-t003,0.806,False,data/bo-elegant/2-1-trials/runs/2-1-t003,0.1033018792354892,0.7873910491320101,1.252762968495368,0.9998907882124479,0.7537560534001352,0.2185674348712507,0.0,0.0,17.763694361825443,2.6,2.5,-0.9998907882124479
reuse_v2,2-1,staggered,2-1-t004,0.034,False,data/bo-elegant/2-1-trials/runs/2-1-t004,0.8443237370521154,0.065833503851647,1.252762968495368,0.9998907882124479,0.056572292530884485,0.33528949699953414,0.0,0.0,74.40709291571213,3.9,2.5,-0.9998907882124479
reuse_v2,2-1,staggered,2-1-t005,0.835,False,data/bo-elegant/2-1-trials/runs/2-1-t005,0.10938807599912645,0.7720469845128033,1.252762968495368,0.9998907882124479,0.7359611755635889,0.22611391329094488,0.0,0.0,18.75781741163963,2.7,2.5,-0.9998907882124479
reuse_v2,2-1,staggered,2-1-t006,0.034,False,data/bo-elegant/2-1-trials/runs/2-1-t006,0.8266938112512859,0.06933739683642023,1.252762968495368,0.9998907882124479,0.06151060623911008,0.32204301075268815,0.0,0.0,49.66528975838424,3.9,2.5,-0.9998907882124479
reuse_v2,2-1,staggered,2-1-t007,0.844,False,data/bo-elegant/2-1-trials/runs/2-1-t007,0.11568050230383135,0.7687208439519738,1.252762968495368,0.9998907882124479,0.7365817588809038,0.22886041211121233,0.0,0.0,17.502062359727528,3.1,2.5,-0.9998907882124479
reuse_v2,2-1,staggered,2-1-t008,0.688,False,data/bo-elegant/2-1-trials/runs/2-1-t008,0.11728292925482665,0.7520271010439854,1.252762968495368,0.9998907882124479,0.7340296681196894,0.23393145847265728,0.0,0.0,67.83033168350158,3.8,2.5,-0.9998907882124479
reuse_v2,2-1,staggered,2-1-t009,0.796,False,data/bo-elegant/2-1-trials/runs/2-1-t009,0.10962333155139203,0.7935291917018554,1.252762968495368,0.9998907882124479,0.7608258460291969,0.21239176460147818,0.0,0.0,27.974635753419733,3.0,2.5,-0.9998907882124479
reuse_v2,2-1,staggered,2-1-t010,0.033,False,data/bo-elegant/2-1-trials/runs/2-1-t010,0.8337043333874781,0.07156291919085443,1.252762968495368,0.9998907882124479,0.06225003565382922,0.34423637223896214,0.0,0.0,38.97600000000002,5.4,2.5,-0.9998907882124479
reuse_v2,2-1,staggered,2-1-t011,0.838,False,data/bo-elegant/2-1-trials/runs/2-1-t011,0.1087814617318138,0.7711112006762859,1.252762968495368,0.9998907882124479,0.7377082131954306,0.22624175024696436,0.0,0.0,16.977544580013458,2.5,2.5,-0.9998907882124479
reuse_v2,2-1,staggered,2-1-t012,0.827,False,data/bo-elegant/2-1-trials/runs/2-1-t012,0.1160237835833005,0.7645364278790209,1.252762968495368,0.9998907882124479,0.7322056388856163,0.22336946549801695,0.0,0.0,20.40691059537984,3.2,2.5,-0.9998907882124479
bo-full-stage,2-1,staggered,2-1-smoke,0.843,True,data/bo-full-stage/2-1-trials/runs/2-1-smoke,0.11511307419003716,0.7627573534730964,1.252762968495368,0.999888792434158,0.7301821548967693,0.22659289997999676,0.0,0.0,21.63529055298056,2.5,2.5,-0.999888792434158
bo-full-stage,2-1,staggered,2-1-f000,0.426,True,data/bo-full-stage/2-1-trials/runs/2-1-f000,0.10977373603018781,0.7805341460339507,1.2237754316221157,0.999893585157793,0.6652260452772628,0.21818849833306925,0.0,0.0,22.83736577368671,2.3,2.4,-0.999893585157793
bo-full-stage,2-1,staggered,2-1-f001,0.036,True,data/bo-full-stage/2-1-trials/runs/2-1-f001,0.8740415566422944,0.04710749267804695,1.2809338454620645,0.9998916401741121,0.04126181485224847,0.3085356843199379,0.0,0.0,39.026000000000025,4.7,2.6,-0.9998916401741121
bo-full-stage,2-1,staggered,2-1-f002,0.663,True,data/bo-full-stage/2-1-trials/runs/2-1-f002,0.14466641864862773,0.6820438015042816,1.2809338454620645,0.9998893244974378,0.6558387537488193,0.2769875780230886,0.0,0.0,38.94991111813539,6.9,2.6,-0.9998893244974378
bo-full-stage,2-1,staggered,2-1-f003,0.532,True,data/bo-full-stage/2-1-trials/runs/2-1-f003,0.09907873605795925,0.7942469187857443,1.2809338454620645,0.9998897438761017,0.742709050285334,0.21835529856974922,0.0,0.0,27.48781582991985,2.5,2.6,-0.9998897438761017
bo-full-stage,2-1,staggered,2-1-f004,0.793,True,data/bo-full-stage/2-1-trials/runs/2-1-f004,0.10410858275005741,0.7950116675864322,1.2809338454620645,0.9998916401741121,0.7611627488792296,0.21430355857874084,0.0,0.0,28.361143296068118,3.1,2.6,-0.9998916401741121
bo-full-stage,2-1,staggered,2-1-f005,0.034,True,data/bo-full-stage/2-1-trials/runs/2-1-f005,0.81583719650632,0.07019773923719408,1.252762968495368,0.9998886344260298,0.06065543105996251,0.27670911956382843,0.0,0.0,84.12744850959623,4.3,2.5,-0.9998886344260298
bo-full-stage,2-1,staggered,2-1-f006,0.414,True,data/bo-full-stage/2-1-trials/runs/2-1-f006,0.09449746652523996,0.7823375063815187,1.308332819650179,0.9998946283097242,0.6731060582573235,0.21394505235241706,0.0,0.0,19.688873923296615,4.1,2.7,-0.9998946283097242
bo-full-stage,2-1,staggered,2-1-f007,0.559,True,data/bo-full-stage/2-1-trials/runs/2-1-f007,0.11218863705460361,0.7689244324840487,1.252762968495368,0.9998887879102902,0.7286784934035249,0.2385908132734456,0.0,0.0,24.804776058577254,2.1,2.5,-0.9998887879102902
bo-full-stage,2-1,staggered,2-1-f008,0.81,True,data/bo-full-stage/2-1-trials/runs/2-1-f008,0.10061978597947151,0.7853639480880247,1.252762968495368,0.9998910323415225,0.7520007482136915,0.21970656348724815,0.0,0.0,17.39501674498516,2.7,2.5,-0.9998910323415225
bo-full-stage,2-1,staggered,2-1-f009,0.159,True,data/bo-full-stage/2-1-trials/runs/2-1-f009,0.36546264593508465,0.47223858509070543,1.2809338454620645,0.9998892131006295,0.43134726002906043,0.35041056922256186,0.0,0.0,102.44889816231877,16.8,2.6,-0.9998892131006295
bo-full-stage,2-1,staggered,2-1-f010,0.033,True,data/bo-full-stage/2-1-trials/runs/2-1-f010,0.8228339824457913,0.08236034550110682,1.2809338454620645,0.9998936760558295,0.06545474650644145,0.2071672732152866,0.0,0.0,197.50345264990563,31.5,2.6,-0.9998936760558295
bo-full-stage,2-1,staggered,2-1-f011,0.85,True,data/bo-full-stage/2-1-trials/runs/2-1-f011,0.1174749667708226,0.7633856876228506,1.2237754316221157,0.9998900142454238,0.7286945117905663,0.23157510326366354,0.0,0.0,16.94599169388979,2.7,2.4,-0.9998900142454238
bo-full-stage,2-1,staggered,2-1-f012,0.433,True,data/bo-full-stage/2-1-trials/runs/2-1-f012,0.10322967922287897,0.7821147991294265,1.2237754316221157,0.9998945769131923,0.665339207430878,0.22877801206105858,0.0,0.0,20.354067321890756,3.1,2.4,-0.9998945769131923
